"","Stations_id","Stationsname","geograph.Breite","geograph.Laenge","Stationshoehe","Naturraumgruppe","Naturraum","Datum.Stationsaufloesung","Bundesland","eor"
"1729",9073,"Hopsten                                    ",52.3833,7.6167,40,"Dümmer-Geestniederung                                                           ","Plantlünner Sandebene                                                           ","31.12.1976             ","Nordrhein-Westfalen                     ","eor"
"1730",9074,"Laggenbeck                                 ",52.2667,7.7833,90,"Dümmer-Geestniederung                                                           ","Plantlünner Sandebene                                                           ","                       ","Nordrhein-Westfalen                     ","eor"
"1731",9075,"Ibbenbüren (PH)                            ",52.2833,7.7333,70,"Unteres Weserbergland                                                           ","Osnabrücker Hügelland                                                           ","31.12.1997             ","Nordrhein-Westfalen                     ","eor"
"1732",9076,"Dreierwalde                                ",52.3333,7.5167,35,"Dümmer-Geestniederung                                                           ","Plantlünner Sandebene                                                           ","31.12.2011             ","Nordrhein-Westfalen                     ","eor"
"1733",9077,"Riesenbeck                                 ",52.25,7.6,40,"Unteres Weserbergland                                                           ","Tecklenburger Osning                                                            ","31.12.1980             ","Nordrhein-Westfalen                     ","eor"
"1734",9078,"Leeden                                     ",52.2167,7.8833,100,"Unteres Weserbergland                                                           ","Osnabrücker Hügelland                                                           ","31.12.1963             ","Nordrhein-Westfalen                     ","eor"
"1735",9079,"Tecklenburg (PH)                           ",52.2167,7.8167,180,"Unteres Weserbergland                                                           ","Tecklenburger Osning                                                            ","31.12.1990             ","Nordrhein-Westfalen                     ","eor"
"1736",9080,"Warendorf (Ph)                             ",51.95,7.9833,55,"Westfälische Tieflandsbucht                                                     ","Ostmünsterland                                                                  ","                       ","Nordrhein-Westfalen                     ","eor"
"1737",9081,"Beelen                                     ",51.9167,8.1167,60,"Westfälische Tieflandsbucht                                                     ","Kernmünsterland                                                                 ","31.12.1959             ","Nordrhein-Westfalen                     ","eor"
"1738",9082,"Freckenhorst                               ",51.9167,7.9667,60,"Westfälische Tieflandsbucht                                                     ","Kernmünsterland                                                                 ","                       ","Nordrhein-Westfalen                     ","eor"
"1739",9083,"Hoetmar                                    ",51.8667,7.9167,65,"Westfälische Tieflandsbucht                                                     ","Kernmünsterland                                                                 ","31.12.1997             ","Nordrhein-Westfalen                     ","eor"
"1740",9084,"Harsewinkel                                ",51.9667,8.2333,65,"Westfälische Tieflandsbucht                                                     ","Ostmünsterland                                                                  ","                       ","Nordrhein-Westfalen                     ","eor"
"1741",9085,"Ostbevern                                  ",52.0333,7.8333,50,"Westfälische Tieflandsbucht                                                     ","Ostmünsterland                                                                  ","31.12.1970             ","Nordrhein-Westfalen                     ","eor"
"1742",9086,"Sassenberg                                 ",51.9833,8.05,60,"Westfälische Tieflandsbucht                                                     ","Ostmünsterland                                                                  ","31.12.1960             ","Nordrhein-Westfalen                     ","eor"
"1743",9087,"Gelsenkirchen (Ph)                         ",51.5833,7.0667,70,"Westfälische Tieflandsbucht                                                     ","Emscherland                                                                     ","                       ","Nordrhein-Westfalen                     ","eor"
"1744",9088,"Recklinghausen/Westf.                      ",51.6167,7.2,95,"Westfälische Tieflandsbucht                                                     ","Emscherland                                                                     ","31.12.2005             ","Nordrhein-Westfalen                     ","eor"
"1745",9089,"Haltern a. See                             ",51.7333,7.1833,50,"Westfälische Tieflandsbucht                                                     ","Westmünsterland                                                                 ","31.12.2009             ","Nordrhein-Westfalen                     ","eor"
"1746",9090,"Herten/Westf.                              ",51.6,7.15,60,"Westfälische Tieflandsbucht                                                     ","Emscherland                                                                     ","31.12.1990             ","Nordrhein-Westfalen                     ","eor"
"1747",9091,"Westerholt                                 ",51.6,7.1,75,"Westfälische Tieflandsbucht                                                     ","Emscherland                                                                     ","31.12.1994             ","Nordrhein-Westfalen                     ","eor"
"1748",9092,"Kirchhellen                                ",51.6,6.9167,60,"Westfälische Tieflandsbucht                                                     ","Westmünsterland                                                                 ","31.12.2000             ","Nordrhein-Westfalen                     ","eor"
"1749",9093,"Datteln                                    ",51.65,7.35,50,"Westfälische Tieflandsbucht                                                     ","Emscherland                                                                     ","31.12.1974             ","Nordrhein-Westfalen                     ","eor"
"1750",9094,"Lavesum                                    ",51.7833,7.1667,70,"Westfälische Tieflandsbucht                                                     ","Westmünsterland                                                                 ","31.12.1980             ","Nordrhein-Westfalen                     ","eor"
"1751",9095,"Hausdülmen                                 ",51.8167,7.2667,50,"Westfälische Tieflandsbucht                                                     ","Westmünsterland                                                                 ","31.12.1979             ","Nordrhein-Westfalen                     ","eor"
"1752",9096,"Lippramsdorf                               ",51.7167,7.1,45,"Westfälische Tieflandsbucht                                                     ","Westmünsterland                                                                 ","31.12.2000             ","Nordrhein-Westfalen                     ","eor"
"1753",9097,"Dorsten                                    ",51.6667,6.95,35,"Westfälische Tieflandsbucht                                                     ","Westmünsterland                                                                 ","31.12.1989             ","Nordrhein-Westfalen                     ","eor"
"1754",9098,"Haltern a. See-Hamm                        ",51.7,7.15,50,"Westfälische Tieflandsbucht                                                     ","Westmünsterland                                                                 ","31.12.1978             ","Nordrhein-Westfalen                     ","eor"
"1755",9099,"Marl                                       ",51.6333,7.0833,55,"Westfälische Tieflandsbucht                                                     ","Westmünsterland                                                                 ","31.12.1973             ","Nordrhein-Westfalen                     ","eor"
"1756",9100,"Waltrop (PH)                               ",51.6333,7.3833,50,"Westfälische Tieflandsbucht                                                     ","Emscherland                                                                     ","31.12.1992             ","Nordrhein-Westfalen                     ","eor"
"1757",9101,"Bielefeld (Bürgerpark)                     ",52.0333,8.5167,170,"Unteres Weserbergland                                                           ","Ravensberger Hügelland                                                          ","31.12.1970             ","Nordrhein-Westfalen                     ","eor"
"1758",9102,"Bielefeld-Schildesche                      ",52.0667,8.55,80,"Unteres Weserbergland                                                           ","Ravensberger Hügelland                                                          ","31.12.1969             ","Nordrhein-Westfalen                     ","eor"
"1759",9103,"Bielefeld-Sieker                           ",52.0167,8.5667,110,"Unteres Weserbergland                                                           ","Ravensberger Hügelland                                                          ","31.12.1985             ","Nordrhein-Westfalen                     ","eor"
"1760",9104,"Bielefeld-Gadderbaum                       ",52,8.5,210,"Unteres Weserbergland                                                           ","Bielefelder Osning                                                              ","31.12.2007             ","Nordrhein-Westfalen                     ","eor"
"1761",9105,"Herford (PH)                               ",52.1167,8.6833,80,"Unteres Weserbergland                                                           ","Ravensberger Hügelland                                                          ","31.12.1988             ","Nordrhein-Westfalen                     ","eor"
"1762",9106,"Bielefeld-Brackwede (Ph)                   ",51.989,8.4715,150,"Unteres Weserbergland                                                           ","Bielefelder Osning                                                              ","                       ","Nordrhein-Westfalen                     ","eor"
"1763",9107,"Bielefeld-Sennestadt (Ph)                  ",51.95,8.5833,130,"Westfälische Tieflandsbucht                                                     ","Ostmünsterland                                                                  ","31.12.1977             ","Nordrhein-Westfalen                     ","eor"
"1764",9108,"Bielefeld-Lämershagen                      ",51.9667,8.6167,180,"Unteres Weserbergland                                                           ","Bielefelder Osning                                                              ","31.12.1974             ","Nordrhein-Westfalen                     ","eor"
"1765",9109,"Bielefeld-Jöllenbeck                       ",52.0833,8.5167,150,"Unteres Weserbergland                                                           ","Ravensberger Hügelland                                                          ","                       ","Nordrhein-Westfalen                     ","eor"
"1766",9110,"Atteln                                     ",51.6,8.8167,200,"Oberes Weserbergland                                                            ","Paderborner Hochfläche                                                          ","31.12.2001             ","Nordrhein-Westfalen                     ","eor"
"1767",9111,"Lichtenau/Westf.                           ",51.6153,8.8972,300,"Westfälische Tieflandsbucht                                                     ","Hellwegbörden                                                                   ","31.12.2007             ","Nordrhein-Westfalen                     ","eor"
"1768",9112,"Salzkotten (PH)                            ",51.6833,8.6,100,"Westfälische Tieflandsbucht                                                     ","Hellwegbörden                                                                   ","31.12.1989             ","Nordrhein-Westfalen                     ","eor"
"1769",9113,"Verne                                      ",51.6833,8.5667,95,"Westfälische Tieflandsbucht                                                     ","Ostmünsterland                                                                  ","31.12.2007             ","Nordrhein-Westfalen                     ","eor"
"1770",9114,"Meerhof                                    ",51.5167,8.8667,410,"Oberes Weserbergland                                                            ","Paderborner Hochfläche                                                          ","31.12.1982             ","Nordrhein-Westfalen                     ","eor"
"1771",9115,"Wünnenberg                                 ",51.5167,8.7,300,"Oberes Weserbergland                                                            ","Paderborner Hochfläche                                                          ","31.12.1964             ","Nordrhein-Westfalen                     ","eor"
"1772",9116,"Blomberg                                   ",51.95,9.0833,160,"Oberes Weserbergland                                                            ","Lipper Bergland                                                                 ","31.12.1982             ","Nordrhein-Westfalen                     ","eor"
"1773",9117,"Detmold (PH)                               ",51.9462,8.8856,140,"Oberes Weserbergland                                                            ","Lipper Bergland                                                                 ","                       ","Nordrhein-Westfalen                     ","eor"
"1774",9118,"Horn                                       ",51.8667,8.95,220,"Oberes Weserbergland                                                            ","Egge                                                                            ","31.12.1980             ","Nordrhein-Westfalen                     ","eor"
"1775",9119,"Lage                                       ",51.9833,8.8,100,"Oberes Weserbergland                                                            ","Lipper Bergland                                                                 ","31.12.1979             ","Nordrhein-Westfalen                     ","eor"
"1776",9120,"Augustdorf (PH)                            ",51.9167,8.75,163,"Westfälische Tieflandsbucht                                                     ","Ostmünsterland                                                                  ","31.12.1994             ","Nordrhein-Westfalen                     ","eor"
"1777",9121,"Brakelsiek                                 ",51.9,9.1667,200,"Oberes Weserbergland                                                            ","Lipper Bergland                                                                 ","31.12.2009             ","Nordrhein-Westfalen                     ","eor"
"1778",9122,"Donop                                      ",51.9833,9,160,"Oberes Weserbergland                                                            ","Lipper Bergland                                                                 ","31.12.1982             ","Nordrhein-Westfalen                     ","eor"
"1779",9123,"Lüdge-Falkenhagen                          ",51.8833,9.3,220,"Oberes Weserbergland                                                            ","Lipper Bergland                                                                 ","31.12.1967             ","Nordrhein-Westfalen                     ","eor"
"1780",9124,"Heidenoldendorf                            ",51.9333,8.8333,130,"Oberes Weserbergland                                                            ","Lipper Bergland                                                                 ","31.12.2013             ","Nordrhein-Westfalen                     ","eor"
"1781",9125,"Hummersen                                  ",51.8833,9.3333,200,"Oberes Weserbergland                                                            ","Lipper Bergland                                                                 ","31.12.1980             ","Nordrhein-Westfalen                     ","eor"
"1782",9126,"Schlangen                                  ",51.8167,8.85,160,"Westfälische Tieflandsbucht                                                     ","Hellwegbörden                                                                   ","31.12.1974             ","Nordrhein-Westfalen                     ","eor"
"1783",9127,"Veldrom                                    ",51.8333,8.9333,330,"Oberes Weserbergland                                                            ","Egge                                                                            ","31.12.1955             ","Nordrhein-Westfalen                     ","eor"
"1784",9128,"Jerxen-Orbke                               ",51.95,8.85,130,"Oberes Weserbergland                                                            ","Lipper Bergland                                                                 ","31.12.1974             ","Nordrhein-Westfalen                     ","eor"
"1785",9129,"Barnhausen                                 ",52.1,8.3333,120,"Unteres Weserbergland                                                           ","Ravensberger Hügelland                                                          ","31.12.1960             ","Nordrhein-Westfalen                     ","eor"
"1786",9130,"Borgholzhausen                             ",52.1,8.3,130,"Unteres Weserbergland                                                           ","Bielefelder Osning                                                              ","31.12.2011             ","Nordrhein-Westfalen                     ","eor"
"1787",9131,"Halle/Westf.                               ",52.05,8.3667,130,"Westfälische Tieflandsbucht                                                     ","Ostmünsterland                                                                  ","31.12.1990             ","Nordrhein-Westfalen                     ","eor"
"1788",9132,"Hörste                                     ",52.05,8.3,90,"Westfälische Tieflandsbucht                                                     ","Ostmünsterland                                                                  ","31.12.1999             ","Nordrhein-Westfalen                     ","eor"
"1789",9133,"Steinhagen/Westf.                          ",52,8.4167,110,"Westfälische Tieflandsbucht                                                     ","Ostmünsterland                                                                  ","31.12.1999             ","Nordrhein-Westfalen                     ","eor"
"1790",9134,"Bockhorst                                  ",52.0667,8.2,75,"Westfälische Tieflandsbucht                                                     ","Ostmünsterland                                                                  ","31.12.1995             ","Nordrhein-Westfalen                     ","eor"
"1791",9135,"Versmold (PH)                              ",52.0333,8.15,70,"Westfälische Tieflandsbucht                                                     ","Ostmünsterland                                                                  ","31.12.1965             ","Nordrhein-Westfalen                     ","eor"
"1792",9136,"Isingdorf                                  ",52.05,8.4333,170,"Unteres Weserbergland                                                           ","Bielefelder Osning                                                              ","31.12.2011             ","Nordrhein-Westfalen                     ","eor"
"1793",9137,"Rotenhagen                                 ",52.1,8.4167,120,"Unteres Weserbergland                                                           ","Ravensberger Hügelland                                                          ","31.12.1971             ","Nordrhein-Westfalen                     ","eor"
"1794",9138,"Bünde                                      ",52.2,8.6,70,"Unteres Weserbergland                                                           ","Ravensberger Hügelland                                                          ","31.12.2008             ","Nordrhein-Westfalen                     ","eor"
"1795",9139,"Besenkamp                                  ",52.1667,8.5667,85,"Unteres Weserbergland                                                           ","Ravensberger Hügelland                                                          ","31.12.1966             ","Nordrhein-Westfalen                     ","eor"
"1796",9140,"Enger/Westf.                               ",52.1333,8.55,95,"Unteres Weserbergland                                                           ","Ravensberger Hügelland                                                          ","31.12.1997             ","Nordrhein-Westfalen                     ","eor"
"1797",9141,"Löhne                                      ",52.1833,8.7,60,"Unteres Weserbergland                                                           ","Ravensberger Hügelland                                                          ","31.12.1966             ","Nordrhein-Westfalen                     ","eor"
"1798",9142,"Obernbeck                                  ",52.2167,8.7,60,"Unteres Weserbergland                                                           ","Ravensberger Hügelland                                                          ","31.12.1965             ","Nordrhein-Westfalen                     ","eor"
"1799",9143,"Exter                                      ",52.15,8.8,130,"Unteres Weserbergland                                                           ","Ravensberger Hügelland                                                          ","                       ","Nordrhein-Westfalen                     ","eor"
"1800",9144,"Driburg                                    ",51.7315,9.023,215,"Oberes Weserbergland                                                            ","Egge                                                                            ","                       ","Nordrhein-Westfalen                     ","eor"
"1801",9145,"Höxter (PH)                                ",51.7667,9.3833,100,"Oberes Weserbergland                                                            ","Holzmindener Wesertal                                                           ","31.12.1977             ","Nordrhein-Westfalen                     ","eor"
"1802",9146,"Beverungen (PH)                            ",51.65,9.3833,100,"Oberes Weserbergland                                                            ","Holzmindener Wesertal                                                           ","31.12.1977             ","Nordrhein-Westfalen                     ","eor"
"1803",9147,"Brakel                                     ",51.7167,9.1833,140,"Oberes Weserbergland                                                            ","Oberwälder Land                                                                 ","31.12.2013             ","Nordrhein-Westfalen                     ","eor"
"1804",9148,"Alhausen                                   ",51.75,9.0667,200,"Oberes Weserbergland                                                            ","Egge                                                                            ","31.12.1984             ","Nordrhein-Westfalen                     ","eor"
"1805",9149,"Hermannsborn, Bad                          ",51.7667,9.0667,260,"Oberes Weserbergland                                                            ","Oberwälder Land                                                                 ","31.12.1969             ","Nordrhein-Westfalen                     ","eor"
"1806",9150,"Godelheim                                  ",51.7333,9.3667,100,"Oberes Weserbergland                                                            ","Holzmindener Wesertal                                                           ","31.12.1986             ","Nordrhein-Westfalen                     ","eor"
"1807",9151,"Lügde                                      ",51.9667,9.25,100,"Oberes Weserbergland                                                            ","Pyrmonter Bergland                                                              ","31.12.1979             ","Nordrhein-Westfalen                     ","eor"
"1808",9152,"Eversen                                    ",51.8333,9.1167,200,"Oberes Weserbergland                                                            ","Lipper Bergland                                                                 ","31.12.1966             ","Nordrhein-Westfalen                     ","eor"
"1809",9153,"Steinheim/Westf.-Bergheim                  ",51.8333,9.05,160,"Oberes Weserbergland                                                            ","Lipper Bergland                                                                 ","31.12.1981             ","Nordrhein-Westfalen                     ","eor"
"1810",9154,"Steinheim/Westf.                           ",51.8667,9.0833,140,"Oberes Weserbergland                                                            ","Lipper Bergland                                                                 ","31.12.1999             ","Nordrhein-Westfalen                     ","eor"
"1811",9155,"Steinheim/Westf.-Eichholz                  ",51.8333,9.0667,140,"Oberes Weserbergland                                                            ","Oberwälder Land                                                                 ","                       ","Nordrhein-Westfalen                     ","eor"
"1812",9156,"Marienmünster-Löwendorf                    ",51.85,9.2833,300,"Oberes Weserbergland                                                            ","Lipper Bergland                                                                 ","31.12.2001             ","Nordrhein-Westfalen                     ","eor"
"1813",9157,"Barntrup                                   ",52,9.1167,170,"Oberes Weserbergland                                                            ","Lipper Bergland                                                                 ","31.12.1960             ","Nordrhein-Westfalen                     ","eor"
"1814",9158,"Lemgo (PH)                                 ",52.0333,8.9,100,"Oberes Weserbergland                                                            ","Lipper Bergland                                                                 ","31.12.1976             ","Nordrhein-Westfalen                     ","eor"
"1815",9159,"Salzuflen, Bad (PH)                        ",52.0833,8.75,90,"Oberes Weserbergland                                                            ","Lipper Bergland                                                                 ","31.12.1993             ","Nordrhein-Westfalen                     ","eor"
"1816",9160,"Alverdissen                                ",52.0333,9.1333,260,"Oberes Weserbergland                                                            ","Lipper Bergland                                                                 ","31.12.1981             ","Nordrhein-Westfalen                     ","eor"
"1817",9161,"Asemissen                                  ",51.9833,8.6667,150,"Unteres Weserbergland                                                           ","Ravensberger Hügelland                                                          ","                       ","Nordrhein-Westfalen                     ","eor"
"1818",9162,"Bremke                                     ",52.1333,9.1167,130,"Oberes Weserbergland                                                            ","Lipper Bergland                                                                 ","31.12.1957             ","Nordrhein-Westfalen                     ","eor"
"1819",9163,"Dörentrup                                  ",52.0333,9,140,"Oberes Weserbergland                                                            ","Lipper Bergland                                                                 ","31.12.2000             ","Nordrhein-Westfalen                     ","eor"
"1820",9164,"Hohenhausen                                ",52.1,8.9333,160,"Oberes Weserbergland                                                            ","Lipper Bergland                                                                 ","                       ","Nordrhein-Westfalen                     ","eor"
"1821",9165,"Kalletal-Langenholzhausen                  ",52.15,8.9667,100,"Oberes Weserbergland                                                            ","Lipper Bergland                                                                 ","31.12.1980             ","Nordrhein-Westfalen                     ","eor"
"1822",9166,"Talle                                      ",52.1,8.9167,260,"Oberes Weserbergland                                                            ","Lipper Bergland                                                                 ","31.12.1992             ","Nordrhein-Westfalen                     ","eor"
"1823",9167,"Hollenstein                                ",52.0833,8.8167,220,"Oberes Weserbergland                                                            ","Lipper Bergland                                                                 ","31.12.1975             ","Nordrhein-Westfalen                     ","eor"
"1824",9168,"Lübbecke/Westf.                            ",52.3,8.6167,100,"Unteres Weserbergland                                                           ","Lübbecker Lößland                                                               ","31.12.1976             ","Nordrhein-Westfalen                     ","eor"
"1825",9169,"Espelkamp                                  ",52.4167,8.6167,50,"Dümmer-Geestniederung                                                           ","Rahden-Diepenauer Geest                                                         ","                       ","Nordrhein-Westfalen                     ","eor"
"1826",9170,"Dielingen                                  ",52.4333,8.35,60,"Dümmer-Geestniederung                                                           ","Rahden-Diepenauer Geest                                                         ","31.12.1976             ","Nordrhein-Westfalen                     ","eor"
"1827",9171,"Haldem                                     ",52.4333,8.3833,70,"Dümmer-Geestniederung                                                           ","Rahden-Diepenauer Geest                                                         ","31.12.1958             ","Nordrhein-Westfalen                     ","eor"
"1828",9172,"Wehdem                                     ",52.4333,8.4667,60,"Dümmer-Geestniederung                                                           ","Rahden-Diepenauer Geest                                                         ","31.12.1974             ","Nordrhein-Westfalen                     ","eor"
"1829",9173,"Gehlenbeck                                 ",52.3167,8.65,70,"Unteres Weserbergland                                                           ","Lübbecker Lößland                                                               ","31.12.1968             ","Nordrhein-Westfalen                     ","eor"
"1830",9174,"Hüllhorst                                  ",52.25,8.6667,100,"Unteres Weserbergland                                                           ","Ravensberger Hügelland                                                          ","31.12.1999             ","Nordrhein-Westfalen                     ","eor"
"1831",9175,"Levern                                     ",52.3833,8.4667,60,"Dümmer-Geestniederung                                                           ","Rahden-Diepenauer Geest                                                         ","31.12.1966             ","Nordrhein-Westfalen                     ","eor"
"1832",9176,"Harlinghausen                              ",52.3,8.4833,60,"Unteres Weserbergland                                                           ","Lübbecker Lößland                                                               ","31.12.1956             ","Nordrhein-Westfalen                     ","eor"
"1833",9177,"Preußisch Oldendorf                        ",52.3,8.5,65,"Unteres Weserbergland                                                           ","Lübbecker Lößland                                                               ","31.12.1987             ","Nordrhein-Westfalen                     ","eor"
"1834",9178,"Rahden                                     ",52.4333,8.6167,54,"Dümmer-Geestniederung                                                           ","Rahden-Diepenauer Geest                                                         ","31.12.2003             ","Nordrhein-Westfalen                     ","eor"
"1835",9179,"Varlheide                                  ",52.4167,8.5833,45,"Dümmer-Geestniederung                                                           ","Rahden-Diepenauer Geest                                                         ","31.12.1964             ","Nordrhein-Westfalen                     ","eor"
"1836",9180,"Minden                                     ",52.3,8.9167,50,"Dümmer-Geestniederung                                                           ","Mittleres Wesertal                                                              ","                       ","Nordrhein-Westfalen                     ","eor"
"1837",9181,"Hahlen                                     ",52.3,8.8333,50,"Unteres Weserbergland                                                           ","Lübbecker Lößland                                                               ","31.12.1975             ","Nordrhein-Westfalen                     ","eor"
"1838",9182,"Hille                                      ",52.3333,8.75,55,"Unteres Weserbergland                                                           ","Lübbecker Lößland                                                               ","                       ","Nordrhein-Westfalen                     ","eor"
"1839",9183,"Kleinenbremen                              ",52.2333,9.0333,90,"Weser-Leinebergland                                                             ","Calenberger Bergland                                                            ","31.12.2000             ","Nordrhein-Westfalen                     ","eor"
"1840",9184,"Möllbergen                                 ",52.2,8.9167,70,"Oberes Weserbergland                                                            ","Rinteln-Hamelner Weserland                                                      ","31.12.1980             ","Nordrhein-Westfalen                     ","eor"
"1841",9185,"Meßlingen                                  ",52.3833,8.9,55,"Dümmer-Geestniederung                                                           ","Rahden-Diepenauer Geest                                                         ","31.12.1980             ","Nordrhein-Westfalen                     ","eor"
"1842",9186,"Dehme                                      ",52.2333,8.85,50,"Oberes Weserbergland                                                            ","Rinteln-Hamelner Weserland                                                      ","31.12.1967             ","Nordrhein-Westfalen                     ","eor"
"1843",9187,"Wulferdingsen                              ",52.25,8.7333,100,"Unteres Weserbergland                                                           ","Ravensberger Hügelland                                                          ","31.12.2014             ","Nordrhein-Westfalen                     ","eor"
"1844",9188,"Lahde                                      ",52.3833,9,40,"Dümmer-Geestniederung                                                           ","Mittleres Wesertal                                                              ","31.12.1977             ","Nordrhein-Westfalen                     ","eor"
"1845",9189,"Rosenhagen                                 ",52.4,9.1,60,"Weser-Aller-Flachland                                                           ","Loccumer Geest                                                                  ","31.12.2003             ","Nordrhein-Westfalen                     ","eor"
"1846",9190,"Lippspringe, Bad (Nordwest)                ",51.7833,8.8167,140,"Westfälische Tieflandsbucht                                                     ","Ostmünsterland                                                                  ","31.12.1976             ","Nordrhein-Westfalen                     ","eor"
"1847",9191,"Paderborn (PH)                             ",51.7167,8.75,130,"Westfälische Tieflandsbucht                                                     ","Hellwegbörden                                                                   ","31.12.1978             ","Nordrhein-Westfalen                     ","eor"
"1848",9192,"Buke                                       ",51.7333,8.9667,320,"Oberes Weserbergland                                                            ","Egge                                                                            ","31.12.1964             ","Nordrhein-Westfalen                     ","eor"
"1849",9193,"Delbrück (PH)                              ",51.7667,8.5667,100,"Westfälische Tieflandsbucht                                                     ","Ostmünsterland                                                                  ","31.12.1999             ","Nordrhein-Westfalen                     ","eor"
"1850",9194,"Delbrück-Lippling                          ",51.8,8.5333,100,"Westfälische Tieflandsbucht                                                     ","Ostmünsterland                                                                  ","31.12.2013             ","Nordrhein-Westfalen                     ","eor"
"1851",9195,"Dörenhagen                                 ",51.6667,8.8333,280,"Oberes Weserbergland                                                            ","Paderborner Hochfläche                                                          ","31.12.1990             ","Nordrhein-Westfalen                     ","eor"
"1852",9196,"Kirchborchen                               ",51.65,8.7333,150,"Oberes Weserbergland                                                            ","Paderborner Hochfläche                                                          ","31.12.2012             ","Nordrhein-Westfalen                     ","eor"
"1853",9197,"Wewer                                      ",51.6833,8.7,130,"Westfälische Tieflandsbucht                                                     ","Hellwegbörden                                                                   ","31.12.1981             ","Nordrhein-Westfalen                     ","eor"
"1854",9198,"Elsen                                      ",51.7333,8.6833,105,"Westfälische Tieflandsbucht                                                     ","Hellwegbörden                                                                   ","                       ","Nordrhein-Westfalen                     ","eor"
"1855",9199,"Paderborn-Sande (PH)                       ",51.7667,8.6667,100,"Westfälische Tieflandsbucht                                                     ","Ostmünsterland                                                                  ","31.12.2004             ","Nordrhein-Westfalen                     ","eor"
"1856",9200,"Schloß Neuhaus                             ",51.7333,8.7167,100,"Westfälische Tieflandsbucht                                                     ","Hellwegbörden                                                                   ","                       ","Nordrhein-Westfalen                     ","eor"
"1857",9201,"Warburg/Westf.                             ",51.4833,9.15,180,"Oberes Weserbergland                                                            ","Warburger Börde                                                                 ","31.12.1983             ","Nordrhein-Westfalen                     ","eor"
"1858",9202,"Borgentreich                               ",51.5833,9.25,200,"Oberes Weserbergland                                                            ","Warburger Börde                                                                 ","                       ","Nordrhein-Westfalen                     ","eor"
"1859",9203,"Bühne                                      ",51.5833,9.3,230,"Oberes Weserbergland                                                            ","Warburger Börde                                                                 ","                       ","Nordrhein-Westfalen                     ","eor"
"1860",9204,"Natingen                                   ",51.65,9.2333,250,"Oberes Weserbergland                                                            ","Oberwälder Land                                                                 ","31.12.1989             ","Nordrhein-Westfalen                     ","eor"
"1861",9205,"Altenheerse                                ",51.6667,9.05,250,"Oberes Weserbergland                                                            ","Oberwälder Land                                                                 ","                       ","Nordrhein-Westfalen                     ","eor"
"1862",9206,"Dringenberg                                ",51.6833,9.05,280,"Oberes Weserbergland                                                            ","Oberwälder Land                                                                 ","31.12.1968             ","Nordrhein-Westfalen                     ","eor"
"1863",9207,"Willebadessen                              ",51.6333,9.0333,230,"Oberes Weserbergland                                                            ","Oberwälder Land                                                                 ","31.12.1972             ","Nordrhein-Westfalen                     ","eor"
"1864",9208,"Borlinghausen                              ",51.5833,9.0333,270,"Oberes Weserbergland                                                            ","Egge                                                                            ","31.12.1974             ","Nordrhein-Westfalen                     ","eor"
"1865",9209,"Peckelsheim                                ",51.6,9.1333,210,"Oberes Weserbergland                                                            ","Warburger Börde                                                                 ","31.12.2000             ","Nordrhein-Westfalen                     ","eor"
"1866",9210,"Calenberg                                  ",51.4667,9.1667,210,"Oberes Weserbergland                                                            ","Warburger Börde                                                                 ","31.12.1996             ","Nordrhein-Westfalen                     ","eor"
"1867",9211,"Scherfede                                  ",51.5333,9.0333,210,"Oberes Weserbergland                                                            ","Warburger Börde                                                                 ","31.12.1988             ","Nordrhein-Westfalen                     ","eor"
"1868",9212,"Welda                                      ",51.45,9.1167,170,"Oberes Weserbergland                                                            ","Warburger Börde                                                                 ","31.12.1983             ","Nordrhein-Westfalen                     ","eor"
"1869",9213,"Gütersloh                                  ",51.9167,8.3833,75,"Westfälische Tieflandsbucht                                                     ","Ostmünsterland                                                                  ","                       ","Nordrhein-Westfalen                     ","eor"
"1870",9214,"Wiedenbrück                                ",51.8333,8.3167,70,"Westfälische Tieflandsbucht                                                     ","Ostmünsterland                                                                  ","31.12.2012             ","Nordrhein-Westfalen                     ","eor"
